email_id,sender_reply_mismatch,spf_result,dkim_result,dmarc_result,received_hop_count,has_auth_results_header,label
EML-2026-00068,0,softfail,pass,fail,2,1,1
EML-2026-00069,0,pass,pass,pass,4,1,0
EML-2026-00070,0,fail,pass,fail,10,0,1
EML-2026-00071,0,softfail,none,pass,5,1,1
EML-2026-00072,0,pass,pass,pass,0,1,0
EML-2026-00073,0,pass,pass,pass,2,1,0
EML-2026-00074,0,fail,fail,fail,6,1,1
EML-2026-00075,0,softfail,fail,pass,4,1,1
EML-2026-00076,1,softfail,none,fail,4,1,1
EML-2026-00077,0,fail,none,pass,6,1,1
EML-2026-00078,0,pass,pass,pass,2,1,0
EML-2026-00079,0,pass,pass,pass,1,1,0
EML-2026-00080,0,none,pass,pass,4,1,0
EML-2026-00081,1,fail,pass,none,3,1,1
EML-2026-00082,1,softfail,none,fail,7,1,1
EML-2026-00083,0,pass,none,pass,3,1,0
EML-2026-00084,0,pass,pass,pass,1,1,0
EML-2026-00085,0,pass,pass,fail,1,1,0
EML-2026-00086,0,softfail,pass,pass,1,0,0
EML-2026-00087,0,fail,pass,fail,3,1,1
EML-2026-00088,1,none,fail,fail,4,1,1
EML-2026-00089,1,pass,pass,fail,4,1,1
EML-2026-00090,0,pass,pass,pass,4,1,0
EML-2026-00091,0,pass,pass,pass,4,1,0
EML-2026-00092,1,softfail,fail,fail,11,0,1
EML-2026-00093,0,none,pass,none,7,1,1
EML-2026-00094,0,pass,none,fail,5,1,1
EML-2026-00095,1,pass,fail,fail,4,0,1
EML-2026-00096,0,pass,pass,pass,1,0,0
EML-2026-00097,0,pass,fail,fail,6,0,1
EML-2026-00098,0,none,pass,fail,2,1,0
EML-2026-00099,0,pass,pass,pass,1,1,0
EML-2026-00100,0,pass,pass,pass,1,1,0
EML-2026-00101,0,pass,pass,none,7,1,0
EML-2026-00102,0,fail,none,fail,7,1,1
EML-2026-00103,0,pass,pass,pass,3,1,0
EML-2026-00104,0,pass,none,fail,1,1,1
EML-2026-00105,0,fail,fail,none,6,1,1
EML-2026-00106,1,pass,pass,pass,0,1,0
EML-2026-00107,0,none,pass,pass,4,1,0
EML-2026-00108,1,pass,pass,pass,3,1,1
EML-2026-00109,0,pass,none,fail,0,1,0
EML-2026-00110,0,none,pass,pass,4,1,0
EML-2026-00111,0,pass,pass,fail,4,1,0
EML-2026-00112,0,none,pass,pass,0,1,0
EML-2026-00113,1,none,fail,pass,8,1,1
EML-2026-00114,0,fail,pass,fail,7,0,1
EML-2026-00115,1,fail,pass,fail,6,1,1
EML-2026-00116,0,pass,fail,fail,3,1,1
EML-2026-00117,1,fail,pass,none,3,1,1
EML-2026-00118,0,pass,pass,pass,2,1,0
EML-2026-00119,1,fail,pass,none,6,0,1
EML-2026-00120,0,softfail,none,fail,2,1,1
EML-2026-00121,1,softfail,none,fail,4,1,1
EML-2026-00122,0,pass,fail,none,5,1,1
EML-2026-00123,0,pass,pass,pass,4,1,0
EML-2026-00124,0,pass,pass,pass,1,1,0
EML-2026-00125,0,pass,pass,pass,3,1,0
EML-2026-00126,0,pass,pass,pass,2,1,0
EML-2026-00127,1,fail,none,fail,4,1,1
EML-2026-00128,1,softfail,fail,none,1,1,1
EML-2026-00129,0,pass,pass,none,1,1,0
EML-2026-00130,0,fail,pass,fail,7,1,1
EML-2026-00131,0,pass,pass,pass,1,1,0
EML-2026-00132,0,pass,none,pass,2,1,0
EML-2026-00133,0,pass,pass,pass,1,1,0
EML-2026-00134,0,pass,pass,pass,1,1,0
EML-2026-00135,0,softfail,fail,none,3,1,1
EML-2026-00136,0,pass,pass,pass,3,1,0
EML-2026-00137,1,softfail,fail,pass,7,1,1
EML-2026-00138,1,fail,pass,none,6,0,1
EML-2026-00139,0,pass,pass,pass,3,1,0
EML-2026-00140,0,none,fail,none,0,1,1
EML-2026-00141,0,pass,none,pass,11,1,1
EML-2026-00142,0,pass,pass,pass,4,1,0
EML-2026-00143,0,pass,pass,none,4,1,0
EML-2026-00144,0,pass,pass,pass,4,0,0
EML-2026-00145,0,pass,pass,pass,1,1,0
EML-2026-00146,0,pass,pass,pass,3,1,0
EML-2026-00147,1,softfail,pass,fail,3,0,1
EML-2026-00148,0,softfail,fail,pass,4,0,1
EML-2026-00149,0,pass,pass,pass,3,1,0
EML-2026-00150,0,pass,pass,fail,5,1,0
EML-2026-00151,1,none,none,fail,3,0,1
EML-2026-00152,0,pass,pass,pass,1,1,0
EML-2026-00153,0,pass,pass,pass,3,1,0
EML-2026-00154,0,pass,pass,pass,1,1,0
EML-2026-00155,0,pass,fail,none,7,1,1
EML-2026-00156,0,pass,pass,fail,1,1,0
EML-2026-00157,0,pass,pass,none,4,0,1
EML-2026-00158,0,pass,none,fail,7,0,1
EML-2026-00159,0,pass,pass,pass,0,1,0
EML-2026-00160,0,pass,fail,pass,6,1,1
EML-2026-00161,0,pass,none,pass,0,1,0
EML-2026-00162,0,pass,fail,fail,8,1,1
EML-2026-00163,1,pass,none,none,1,1,1
EML-2026-00164,1,pass,fail,none,4,0,1
EML-2026-00165,0,pass,pass,none,4,1,0
EML-2026-00166,1,none,fail,none,3,0,1
EML-2026-00167,0,pass,pass,fail,4,1,0
EML-2026-00168,0,pass,pass,pass,4,1,0
EML-2026-00169,0,pass,pass,pass,1,1,0
EML-2026-00170,0,pass,pass,fail,4,0,1
EML-2026-00171,0,pass,fail,fail,5,1,1
EML-2026-00172,0,pass,pass,pass,3,0,0
EML-2026-00173,0,pass,none,fail,7,1,1
EML-2026-00174,0,pass,pass,pass,0,1,0
EML-2026-00175,0,pass,fail,fail,4,1,1
EML-2026-00176,0,pass,pass,pass,4,1,0
EML-2026-00177,0,none,none,none,5,1,1
EML-2026-00178,0,pass,pass,pass,5,1,0
EML-2026-00179,0,softfail,fail,fail,5,1,1
EML-2026-00180,0,pass,pass,pass,0,1,0
EML-2026-00181,0,pass,pass,pass,0,1,0
EML-2026-00182,0,pass,pass,pass,2,1,0
EML-2026-00183,0,none,none,pass,6,1,1
EML-2026-00184,0,pass,pass,none,5,1,1
EML-2026-00185,0,pass,pass,pass,2,1,0
EML-2026-00186,0,fail,none,pass,1,1,1
EML-2026-00187,0,fail,pass,fail,2,0,1
EML-2026-00188,1,softfail,none,fail,5,0,1
EML-2026-00189,0,none,none,fail,3,1,1
EML-2026-00190,0,pass,pass,pass,0,1,0
EML-2026-00191,0,pass,pass,none,4,1,0
EML-2026-00192,1,fail,pass,fail,6,1,1
EML-2026-00193,0,softfail,pass,pass,7,1,1
EML-2026-00194,0,fail,none,pass,4,1,1
EML-2026-00195,0,pass,pass,pass,3,1,0
EML-2026-00196,0,pass,pass,pass,3,1,0
EML-2026-00197,1,pass,fail,pass,5,1,1
EML-2026-00198,1,softfail,pass,fail,5,1,1
EML-2026-00199,1,fail,fail,fail,6,1,1
EML-2026-00200,0,fail,fail,pass,3,1,1
EML-2026-00201,0,softfail,none,fail,3,1,1
EML-2026-00202,0,pass,pass,pass,2,1,0
EML-2026-00203,0,pass,pass,pass,2,1,0
EML-2026-00204,1,fail,fail,fail,7,0,1
EML-2026-00205,1,pass,fail,pass,5,1,1
EML-2026-00206,0,pass,pass,pass,2,1,0
EML-2026-00207,0,none,fail,pass,4,1,0
EML-2026-00208,0,softfail,fail,pass,8,1,1
EML-2026-00209,0,fail,pass,pass,2,1,0
EML-2026-00210,0,softfail,pass,pass,4,1,0
EML-2026-00211,1,fail,pass,none,4,1,1
EML-2026-00212,0,pass,fail,fail,7,1,1
EML-2026-00213,1,pass,pass,none,1,1,1
EML-2026-00214,0,pass,pass,fail,0,1,0
EML-2026-00215,0,fail,fail,none,3,1,1
EML-2026-00216,0,pass,pass,pass,3,1,0
EML-2026-00217,0,pass,pass,pass,6,1,0
EML-2026-00218,0,fail,fail,fail,7,1,1
EML-2026-00219,0,fail,fail,pass,3,0,1
EML-2026-00220,1,softfail,pass,fail,3,1,1
EML-2026-00221,0,fail,pass,none,8,1,1
EML-2026-00222,1,none,fail,fail,2,1,1
EML-2026-00223,0,pass,pass,pass,1,1,0
EML-2026-00224,0,pass,pass,pass,2,1,0
EML-2026-00225,1,softfail,pass,pass,3,1,0
EML-2026-00226,0,fail,pass,pass,1,1,0
EML-2026-00227,0,pass,pass,fail,1,0,1
EML-2026-00228,0,pass,none,pass,4,1,0
EML-2026-00229,0,fail,none,fail,3,1,1
EML-2026-00230,0,fail,fail,none,3,0,1
EML-2026-00231,0,fail,fail,none,6,0,1
EML-2026-00232,0,none,none,pass,7,0,1
EML-2026-00233,1,pass,fail,none,6,1,1
EML-2026-00234,0,pass,pass,pass,1,1,0
EML-2026-00235,1,pass,none,pass,4,1,0
EML-2026-00236,1,softfail,fail,fail,5,0,1
EML-2026-00237,0,softfail,pass,pass,1,1,0
EML-2026-00238,0,pass,pass,pass,5,1,0
EML-2026-00239,1,pass,fail,fail,4,1,1
EML-2026-00240,0,pass,pass,pass,4,1,0
EML-2026-00241,1,fail,pass,fail,5,1,1
EML-2026-00242,1,fail,fail,fail,2,1,1
EML-2026-00243,0,softfail,pass,fail,6,1,1
EML-2026-00244,0,none,pass,pass,4,0,0
EML-2026-00245,0,pass,pass,fail,1,1,0
EML-2026-00246,1,fail,none,fail,3,1,1
EML-2026-00247,0,pass,pass,pass,1,1,0
EML-2026-00248,0,fail,fail,fail,4,1,1
EML-2026-00249,1,fail,pass,fail,4,1,1
EML-2026-00250,0,fail,none,fail,1,0,1
EML-2026-00251,0,pass,pass,pass,1,1,0
EML-2026-00252,0,pass,pass,pass,5,1,0
EML-2026-00253,0,pass,pass,fail,4,1,1
EML-2026-00254,0,pass,pass,pass,1,1,0
EML-2026-00255,0,pass,pass,pass,0,1,0
EML-2026-00256,0,fail,fail,none,3,1,1
EML-2026-00257,0,fail,none,fail,4,0,1
EML-2026-00258,0,fail,none,fail,2,1,1
EML-2026-00259,0,softfail,none,fail,4,1,1
EML-2026-00260,0,pass,pass,none,2,1,0
EML-2026-00261,0,none,none,fail,4,1,1
EML-2026-00262,1,fail,none,pass,4,1,1
EML-2026-00263,0,pass,pass,pass,6,1,0
EML-2026-00264,0,pass,fail,fail,5,1,1
EML-2026-00265,0,fail,pass,none,5,0,1
EML-2026-00266,1,softfail,pass,pass,5,1,1
EML-2026-00267,0,none,pass,pass,3,1,1
EML-2026-00268,1,none,pass,none,3,1,1
EML-2026-00269,0,pass,pass,fail,4,1,0
EML-2026-00270,0,pass,pass,pass,3,1,0
EML-2026-00271,0,fail,pass,fail,2,1,1
EML-2026-00272,0,fail,fail,fail,5,0,1
EML-2026-00273,0,pass,none,fail,7,0,1
EML-2026-00274,0,softfail,none,none,2,0,1
EML-2026-00275,0,none,fail,pass,7,1,1
EML-2026-00276,1,fail,fail,pass,3,0,1
EML-2026-00277,0,pass,pass,pass,3,1,1
EML-2026-00278,0,pass,pass,fail,3,1,1
EML-2026-00279,1,fail,pass,pass,7,1,1
EML-2026-00280,0,fail,fail,pass,3,1,1
EML-2026-00281,0,none,none,fail,3,0,1
EML-2026-00282,0,pass,pass,pass,2,1,0
EML-2026-00283,0,pass,pass,fail,5,1,0
EML-2026-00284,1,pass,pass,pass,3,1,0
EML-2026-00285,0,pass,fail,fail,3,0,1
EML-2026-00286,0,softfail,pass,pass,1,1,0
EML-2026-00287,0,pass,pass,pass,2,1,0
EML-2026-00288,0,none,pass,fail,7,1,1
EML-2026-00289,0,pass,pass,pass,1,1,0
EML-2026-00290,1,softfail,pass,fail,2,0,1
EML-2026-00291,0,pass,pass,pass,4,1,0
EML-2026-00292,0,pass,pass,pass,1,1,0
EML-2026-00293,0,softfail,fail,fail,4,1,1
EML-2026-00294,0,pass,pass,fail,2,1,0
EML-2026-00295,0,pass,pass,pass,3,0,0
EML-2026-00296,0,pass,fail,none,1,1,1
EML-2026-00297,0,none,fail,none,5,1,1
EML-2026-00298,0,none,pass,pass,5,1,0
EML-2026-00299,0,pass,fail,fail,3,1,1
EML-2026-00300,0,softfail,pass,pass,5,1,0
EML-2026-00301,0,pass,pass,pass,1,1,0
EML-2026-00302,0,fail,fail,fail,4,0,1
EML-2026-00303,0,fail,none,fail,6,1,1
EML-2026-00304,1,none,fail,fail,6,1,1
EML-2026-00305,0,pass,pass,pass,4,1,1
EML-2026-00306,1,fail,fail,pass,5,1,1
EML-2026-00307,0,fail,pass,fail,4,1,1
EML-2026-00308,0,pass,pass,pass,5,1,0
EML-2026-00309,0,fail,fail,fail,2,1,1
EML-2026-00310,0,pass,pass,pass,3,1,0
EML-2026-00311,0,pass,pass,pass,3,1,0
EML-2026-00312,0,none,pass,pass,6,1,0
EML-2026-00313,0,pass,pass,pass,2,0,0
EML-2026-00314,1,softfail,pass,fail,4,1,1
EML-2026-00315,1,fail,fail,fail,3,1,1
EML-2026-00316,1,fail,none,none,4,1,1
EML-2026-00317,0,pass,pass,fail,3,1,0
EML-2026-00318,0,pass,none,pass,2,1,0
EML-2026-00319,0,softfail,pass,pass,5,1,0
EML-2026-00320,0,pass,pass,pass,1,1,0
EML-2026-00321,0,none,fail,fail,6,1,1
EML-2026-00322,1,pass,fail,fail,3,0,1
EML-2026-00323,1,softfail,pass,pass,5,1,1
EML-2026-00324,0,pass,pass,pass,3,1,0
EML-2026-00325,1,pass,fail,fail,4,0,1
EML-2026-00326,1,softfail,fail,fail,8,1,1
EML-2026-00327,0,pass,fail,fail,6,1,1
EML-2026-00328,0,softfail,fail,pass,3,1,1
EML-2026-00329,0,pass,pass,pass,3,1,0
EML-2026-00330,0,pass,pass,pass,4,1,0
EML-2026-00331,0,softfail,pass,pass,2,1,0
EML-2026-00332,0,fail,fail,pass,4,1,1
EML-2026-00333,0,pass,none,pass,1,1,0
EML-2026-00334,1,pass,pass,pass,2,1,0
EML-2026-00335,0,pass,pass,pass,1,1,0
EML-2026-00336,0,pass,pass,pass,4,1,0
EML-2026-00337,1,pass,pass,pass,8,0,1
EML-2026-00338,0,fail,fail,fail,8,1,1
EML-2026-00339,0,pass,pass,pass,5,1,0
EML-2026-00340,0,pass,pass,pass,1,1,0
EML-2026-00341,0,pass,pass,pass,0,1,0
EML-2026-00342,0,pass,pass,pass,0,1,0
EML-2026-00343,0,pass,none,pass,5,1,0
EML-2026-00344,0,pass,pass,pass,2,1,0
EML-2026-00345,0,pass,pass,pass,0,1,0
EML-2026-00346,0,pass,fail,fail,2,1,1
EML-2026-00347,1,pass,pass,fail,3,1,1
EML-2026-00348,0,pass,pass,pass,1,1,0
EML-2026-00349,0,none,pass,pass,7,1,0
EML-2026-00350,1,softfail,pass,pass,4,1,1
EML-2026-00351,0,pass,none,fail,3,0,1
EML-2026-00352,1,pass,none,fail,4,1,1
EML-2026-00353,1,softfail,fail,fail,2,0,1
EML-2026-00354,0,pass,pass,pass,4,1,0
EML-2026-00355,0,pass,pass,pass,2,1,0
EML-2026-00356,1,none,fail,pass,7,0,1
EML-2026-00357,0,pass,pass,none,2,1,0
EML-2026-00358,1,pass,none,fail,4,1,1
EML-2026-00359,0,softfail,pass,fail,4,1,1
EML-2026-00360,0,none,pass,fail,5,1,1
EML-2026-00361,0,pass,pass,pass,1,1,0
EML-2026-00362,0,fail,pass,pass,8,1,1
EML-2026-00363,0,pass,pass,pass,2,1,0
EML-2026-00364,0,fail,fail,pass,7,1,1
EML-2026-00365,1,softfail,none,fail,4,1,1
EML-2026-00366,0,softfail,pass,pass,0,1,0
EML-2026-00367,1,fail,fail,fail,1,1,1
EML-2026-00368,0,softfail,pass,fail,4,1,1
EML-2026-00369,0,pass,pass,pass,3,1,0
EML-2026-00370,0,pass,pass,pass,4,1,0
EML-2026-00371,0,pass,pass,pass,3,1,0
EML-2026-00372,0,pass,pass,pass,1,1,0
EML-2026-00373,1,pass,pass,pass,1,1,0
EML-2026-00374,1,pass,fail,none,3,1,1
EML-2026-00375,0,pass,pass,pass,3,1,0
EML-2026-00376,0,pass,pass,pass,2,1,0
EML-2026-00377,0,fail,fail,fail,0,0,1
EML-2026-00378,0,pass,pass,fail,6,1,0
EML-2026-00379,1,fail,fail,fail,3,0,1
EML-2026-00380,0,none,pass,pass,3,1,0
EML-2026-00381,0,pass,pass,none,5,1,0
EML-2026-00382,1,pass,fail,none,2,1,1
EML-2026-00383,1,pass,fail,pass,9,1,1
EML-2026-00384,0,fail,fail,none,4,1,1
EML-2026-00385,1,pass,none,fail,4,0,1
EML-2026-00386,1,softfail,pass,fail,7,1,1
EML-2026-00387,0,pass,pass,pass,0,1,0
EML-2026-00388,0,pass,pass,pass,8,1,0
EML-2026-00389,1,fail,fail,fail,4,0,1
EML-2026-00390,1,pass,none,pass,2,1,1
EML-2026-00391,0,none,none,none,3,0,1
EML-2026-00392,0,pass,pass,pass,1,1,0
EML-2026-00393,0,pass,pass,pass,4,1,0
EML-2026-00394,1,fail,fail,fail,4,0,1
EML-2026-00395,0,pass,pass,pass,2,1,0
EML-2026-00396,0,fail,pass,pass,6,1,1
EML-2026-00397,0,fail,pass,none,2,0,1
EML-2026-00398,0,pass,pass,pass,3,1,0
EML-2026-00399,0,fail,pass,fail,3,1,1
EML-2026-00400,1,pass,pass,fail,4,1,1
EML-2026-00401,0,pass,pass,pass,3,1,0
EML-2026-00402,1,fail,pass,fail,7,1,1
EML-2026-00403,0,fail,pass,fail,10,1,1
EML-2026-00404,1,fail,fail,fail,6,0,1
EML-2026-00405,0,fail,pass,fail,1,1,0
EML-2026-00406,0,pass,fail,fail,6,1,1
EML-2026-00407,0,pass,pass,pass,0,1,0
EML-2026-00408,0,pass,pass,none,4,1,0
EML-2026-00409,1,fail,fail,fail,6,0,1
EML-2026-00410,0,pass,pass,pass,0,1,0
EML-2026-00411,0,pass,pass,none,1,1,0
EML-2026-00412,1,pass,none,fail,7,1,1
EML-2026-00413,1,fail,fail,pass,6,1,1
EML-2026-00414,1,softfail,fail,pass,6,1,1
EML-2026-00415,1,none,pass,fail,6,0,1
EML-2026-00416,0,softfail,pass,pass,1,1,0
EML-2026-00417,0,pass,pass,pass,1,1,0
EML-2026-00418,0,fail,pass,pass,3,1,0
EML-2026-00419,1,pass,none,fail,5,1,1
EML-2026-00420,1,pass,fail,fail,5,1,1
EML-2026-00421,0,pass,pass,pass,4,1,1
EML-2026-00422,1,softfail,fail,pass,8,0,1
EML-2026-00423,0,softfail,pass,pass,2,1,0
EML-2026-00424,0,pass,pass,pass,5,1,0
EML-2026-00425,0,pass,pass,pass,0,1,0
EML-2026-00426,1,softfail,pass,fail,4,1,1
EML-2026-00427,0,softfail,fail,pass,3,1,0
EML-2026-00428,0,fail,pass,fail,6,0,1
EML-2026-00429,0,none,none,none,5,1,0
EML-2026-00430,0,pass,pass,pass,2,1,0
EML-2026-00431,0,pass,pass,pass,2,1,0
EML-2026-00432,0,fail,pass,fail,8,1,1
EML-2026-00433,0,fail,pass,fail,2,1,1
EML-2026-00434,0,pass,pass,pass,4,1,0
EML-2026-00435,0,pass,pass,pass,3,1,0
EML-2026-00436,0,softfail,fail,none,3,1,1
EML-2026-00437,0,pass,pass,pass,6,1,0
EML-2026-00438,1,fail,fail,fail,1,1,1
EML-2026-00439,1,fail,fail,none,5,1,1
EML-2026-00440,0,pass,pass,pass,4,1,0
EML-2026-00441,0,pass,pass,pass,3,1,0
EML-2026-00442,0,fail,fail,none,5,1,1
EML-2026-00443,0,pass,pass,pass,2,1,0
EML-2026-00444,0,pass,pass,pass,2,1,0
EML-2026-00445,0,softfail,fail,none,7,1,1
EML-2026-00446,1,pass,fail,fail,3,1,1
EML-2026-00447,1,none,pass,none,7,1,1
EML-2026-00448,0,fail,pass,pass,5,0,1
EML-2026-00449,0,none,pass,pass,0,1,0
EML-2026-00450,0,pass,pass,pass,3,1,0
EML-2026-00451,1,fail,pass,fail,1,1,1
EML-2026-00452,0,fail,none,pass,2,1,1
EML-2026-00453,0,pass,pass,pass,0,1,0
EML-2026-00454,1,fail,fail,pass,8,1,1
EML-2026-00455,0,pass,pass,pass,1,1,0
EML-2026-00456,0,pass,fail,pass,8,1,0
EML-2026-00457,0,pass,pass,pass,2,1,0
EML-2026-00458,0,pass,pass,pass,5,0,0
EML-2026-00459,0,pass,none,pass,4,1,0
EML-2026-00460,0,pass,pass,none,3,1,0
EML-2026-00461,0,pass,none,pass,2,1,0
EML-2026-00462,0,fail,fail,fail,5,1,1
EML-2026-00463,0,pass,pass,none,5,1,1
EML-2026-00464,0,fail,pass,fail,2,1,1
EML-2026-00465,1,softfail,pass,fail,4,0,1
EML-2026-00466,0,pass,pass,pass,3,1,0
EML-2026-00467,0,pass,pass,none,3,0,0
EML-2026-00468,0,pass,pass,pass,1,0,1
EML-2026-00469,0,pass,pass,none,3,1,0
EML-2026-00470,1,pass,fail,none,4,1,1
EML-2026-00471,0,pass,pass,pass,4,1,0
EML-2026-00472,1,fail,none,fail,6,1,1
EML-2026-00473,0,softfail,pass,pass,2,1,0
EML-2026-00474,1,pass,fail,pass,3,1,1
EML-2026-00475,0,fail,fail,pass,9,0,1
EML-2026-00476,0,fail,pass,none,2,1,1
EML-2026-00477,0,pass,pass,pass,2,1,0
EML-2026-00478,1,softfail,fail,fail,7,1,1
EML-2026-00479,1,pass,fail,fail,5,0,1
EML-2026-00480,0,pass,fail,fail,3,1,1
EML-2026-00481,0,fail,fail,pass,1,1,1
EML-2026-00482,0,fail,fail,fail,1,1,1
EML-2026-00483,0,pass,pass,pass,2,1,0
EML-2026-00484,0,pass,fail,pass,6,1,1
EML-2026-00485,1,fail,none,none,6,0,1
EML-2026-00486,0,fail,none,pass,2,1,1
EML-2026-00487,0,pass,pass,pass,1,1,0
EML-2026-00488,0,pass,pass,pass,3,1,0
EML-2026-00489,0,fail,none,fail,3,1,1
EML-2026-00490,0,fail,fail,fail,5,1,1
EML-2026-00491,0,none,pass,pass,1,1,0
EML-2026-00492,0,pass,pass,none,0,0,1
EML-2026-00493,0,softfail,none,pass,1,1,0
EML-2026-00494,0,pass,pass,pass,3,0,0
EML-2026-00495,0,pass,pass,pass,3,1,0
EML-2026-00496,0,pass,pass,none,3,1,0
EML-2026-00497,0,fail,fail,fail,2,0,1
EML-2026-00498,0,pass,pass,pass,3,1,0
EML-2026-00499,0,softfail,fail,pass,3,0,1
EML-2026-00500,1,pass,pass,none,2,0,1
EML-2026-00501,0,pass,fail,none,7,1,1
EML-2026-00502,0,fail,pass,fail,8,0,1
EML-2026-00503,0,fail,pass,pass,0,1,0
EML-2026-00504,1,fail,pass,fail,2,1,1
EML-2026-00505,1,fail,pass,none,5,1,1
EML-2026-00506,0,pass,pass,none,2,1,0
EML-2026-00507,0,softfail,pass,none,3,1,1
EML-2026-00508,1,fail,pass,none,3,1,1
EML-2026-00509,1,fail,none,none,3,1,1
EML-2026-00510,0,none,fail,pass,2,1,1
EML-2026-00511,0,fail,fail,none,4,1,1
EML-2026-00512,0,pass,pass,pass,3,1,0
EML-2026-00513,0,fail,fail,none,3,1,1
EML-2026-00514,0,fail,none,fail,4,1,1
EML-2026-00515,0,pass,pass,pass,3,1,0
EML-2026-00516,0,pass,pass,pass,5,1,0
EML-2026-00517,0,pass,none,pass,7,1,0
EML-2026-00518,1,fail,fail,pass,3,0,1
EML-2026-00519,1,fail,pass,fail,3,1,1
EML-2026-00520,0,pass,pass,pass,4,1,0
EML-2026-00521,0,fail,pass,fail,0,0,1
EML-2026-00522,0,pass,none,pass,3,1,0
EML-2026-00523,0,fail,pass,pass,0,1,1
EML-2026-00524,1,pass,none,none,5,1,1
EML-2026-00525,1,softfail,none,fail,2,1,1
EML-2026-00526,0,pass,pass,pass,1,1,0
EML-2026-00527,0,pass,pass,pass,1,1,0
EML-2026-00528,0,pass,pass,pass,2,1,0
EML-2026-00529,0,pass,pass,pass,2,1,0
EML-2026-00530,1,fail,fail,fail,5,1,1
EML-2026-00531,0,softfail,fail,fail,6,1,1
EML-2026-00532,1,fail,fail,fail,1,1,1
EML-2026-00533,0,fail,none,fail,3,1,1
EML-2026-00534,1,fail,fail,fail,7,1,1
EML-2026-00535,0,pass,fail,pass,4,1,1
EML-2026-00536,0,pass,none,none,4,0,1
EML-2026-00537,1,fail,pass,pass,5,0,1
EML-2026-00538,0,pass,pass,pass,2,1,0
EML-2026-00539,0,softfail,pass,pass,8,1,0
