attachment_id,file_size_bytes,entropy_score,is_executable,is_archived,filename_length,number_of_dots,double_extension,extension_mime_mismatch,label
ATT-2026-00036,15960,4.12,0,0,33,1,0,0,0
ATT-2026-00037,23400,4.12,0,0,28,1,0,0,0
ATT-2026-00038,23880,4.12,0,0,35,1,0,0,0
ATT-2026-00039,30360,4.12,0,0,32,1,0,0,0
ATT-2026-00040,71600,7.45,0,1,32,1,0,0,1
ATT-2026-00041,72650,7.45,1,0,28,1,0,0,1
ATT-2026-00042,38280,4.12,0,0,35,1,0,0,0
ATT-2026-00043,58300,7.45,0,1,32,1,0,0,1
ATT-2026-00044,53400,7.45,1,0,28,1,0,0,1
ATT-2026-00045,20280,4.12,0,0,29,1,0,0,0
ATT-2026-00046,37800,4.12,0,0,26,1,0,0,0
ATT-2026-00047,55150,7.45,1,0,28,1,0,0,1
ATT-2026-00048,51650,7.45,1,0,28,1,0,0,1
ATT-2026-00049,25320,4.12,0,0,28,1,0,0,0
ATT-2026-00050,75100,7.45,0,1,32,1,0,0,1
ATT-2026-00051,18360,4.12,0,0,29,1,0,0,0
ATT-2026-00052,32520,4.12,0,0,35,1,0,0,0
ATT-2026-00053,46750,7.45,1,0,28,1,0,0,1
ATT-2026-00054,21240,4.12,0,0,35,1,0,0,0
ATT-2026-00055,19080,4.12,0,0,35,1,0,0,0
ATT-2026-00056,70550,7.45,0,1,32,1,0,0,1
ATT-2026-00057,24600,4.12,0,0,32,1,0,0,0
ATT-2026-00058,79300,7.45,0,1,32,1,0,0,1
ATT-2026-00059,32280,4.12,0,0,32,1,0,0,0
ATT-2026-00060,78600,7.45,0,1,32,1,0,0,1
ATT-2026-00061,31560,4.12,0,0,35,1,0,0,0
ATT-2026-00062,78950,7.45,1,0,28,1,0,0,1
ATT-2026-00063,55850,7.45,0,1,32,1,0,0,1
ATT-2026-00064,49200,7.45,1,0,28,1,0,0,1
ATT-2026-00065,57250,7.45,1,0,29,1,0,0,1
ATT-2026-00066,19560,4.12,0,0,28,1,0,0,0
ATT-2026-00067,59700,7.45,1,0,28,1,0,0,1
ATT-2026-00068,36360,4.12,0,0,35,1,0,0,0
ATT-2026-00069,76500,7.45,1,0,29,1,0,0,1
ATT-2026-00070,23640,4.12,0,0,34,1,0,0,0
ATT-2026-00071,62850,7.45,0,1,32,1,0,0,1
ATT-2026-00072,21480,4.12,0,0,28,1,0,0,0
ATT-2026-00073,29880,4.12,0,0,29,1,0,0,0
ATT-2026-00074,59350,7.45,0,1,32,1,0,0,1
ATT-2026-00075,19320,4.12,0,0,35,1,0,0,0
ATT-2026-00076,18120,4.12,0,0,35,1,0,0,0
ATT-2026-00077,54100,7.45,0,1,32,1,0,0,1
ATT-2026-00078,24360,4.12,0,0,26,1,0,0,0
ATT-2026-00079,15000,4.12,0,0,31,1,0,0,0
ATT-2026-00080,17640,4.12,0,0,28,1,0,0,0
ATT-2026-00081,45700,7.45,1,0,27,1,0,0,1
ATT-2026-00082,71950,7.45,1,0,28,1,0,0,1
ATT-2026-00083,61100,7.45,0,1,32,1,0,0,1
ATT-2026-00084,35880,4.12,0,0,26,1,0,0,0
ATT-2026-00085,36840,4.12,0,0,28,1,0,0,0
ATT-2026-00086,74750,7.45,1,0,29,1,0,0,1
ATT-2026-00087,29640,4.12,0,0,35,1,0,0,0
ATT-2026-00088,57600,7.45,0,1,32,1,0,0,1
ATT-2026-00089,36600,4.12,0,0,35,1,0,0,0
ATT-2026-00090,66350,7.45,0,1,32,1,0,0,1
ATT-2026-00091,52700,7.45,1,0,28,1,0,0,1
ATT-2026-00092,24840,4.12,0,0,35,1,0,0,0
ATT-2026-00093,15240,4.12,0,0,34,1,0,0,0
ATT-2026-00094,56550,7.45,0,1,32,1,0,0,1
ATT-2026-00095,48850,7.45,0,1,32,1,0,0,1
ATT-2026-00096,37560,4.12,0,0,29,1,0,0,0
ATT-2026-00097,29160,4.12,0,0,28,1,0,0,0
ATT-2026-00098,47100,7.45,0,1,31,1,0,0,1
ATT-2026-00099,54450,7.45,1,0,28,1,0,0,1
ATT-2026-00100,19800,4.12,0,0,34,1,0,0,0
ATT-2026-00101,46400,7.45,1,0,27,1,0,0,1
ATT-2026-00102,56200,7.45,1,0,28,1,0,0,1
ATT-2026-00103,25080,4.12,0,0,35,1,0,0,0
ATT-2026-00104,25800,4.12,0,0,35,1,0,0,0
ATT-2026-00105,17160,4.12,0,0,34,1,0,0,0
ATT-2026-00106,25560,4.12,0,0,34,1,0,0,0
ATT-2026-00107,48500,7.45,1,0,29,1,0,0,1
ATT-2026-00108,66700,7.45,1,0,28,1,0,0,1
ATT-2026-00109,17880,4.12,0,0,34,1,0,0,0
ATT-2026-00110,26040,4.12,0,0,29,1,0,0,0
ATT-2026-00111,30840,4.12,0,0,35,1,0,0,0
ATT-2026-00112,45000,7.45,1,0,28,1,0,0,1
ATT-2026-00113,38520,4.12,0,0,35,1,0,0,0
ATT-2026-00114,27720,4.12,0,0,35,1,0,0,0
ATT-2026-00115,69500,7.45,1,0,29,1,0,0,1
ATT-2026-00116,20520,4.12,0,0,26,1,0,0,0
ATT-2026-00117,67400,7.45,1,0,28,1,0,0,1
ATT-2026-00118,60400,7.45,1,0,28,1,0,0,1
ATT-2026-00119,30120,4.12,0,0,26,1,0,0,0
ATT-2026-00120,54800,7.45,0,1,32,1,0,0,1
ATT-2026-00121,59000,7.45,1,0,29,1,0,0,1
ATT-2026-00122,16920,4.12,0,0,31,1,0,0,0
ATT-2026-00123,28200,4.12,0,0,26,1,0,0,0
ATT-2026-00124,28440,4.12,0,0,32,1,0,0,0
ATT-2026-00125,53750,7.45,1,0,29,1,0,0,1
ATT-2026-00126,53050,7.45,0,1,32,1,0,0,1
ATT-2026-00127,35160,4.12,0,0,34,1,0,0,0
ATT-2026-00128,26280,4.12,0,0,26,1,0,0,0
ATT-2026-00129,73350,7.45,0,1,32,1,0,0,1
ATT-2026-00130,58650,7.45,1,0,28,1,0,0,1
ATT-2026-00131,31320,4.12,0,0,34,1,0,0,0
ATT-2026-00132,61450,7.45,1,0,28,1,0,0,1
ATT-2026-00133,77900,7.45,1,0,28,1,0,0,1
ATT-2026-00134,27960,4.12,0,0,29,1,0,0,0
ATT-2026-00135,60050,7.45,0,1,32,1,0,0,1
ATT-2026-00136,24120,4.12,0,0,29,1,0,0,0
ATT-2026-00137,46050,7.45,0,1,31,1,0,0,1
ATT-2026-00138,16200,4.12,0,0,34,1,0,0,0
ATT-2026-00139,63550,7.45,0,1,32,1,0,0,1
ATT-2026-00140,22920,4.12,0,0,35,1,0,0,0
ATT-2026-00141,34200,4.12,0,0,32,1,0,0,0
ATT-2026-00142,33720,4.12,0,0,29,1,0,0,0
ATT-2026-00143,35400,4.12,0,0,35,1,0,0,0
ATT-2026-00144,62150,7.45,1,0,28,1,0,0,1
ATT-2026-00145,73000,7.45,1,0,29,1,0,0,1
ATT-2026-00146,56900,7.45,1,0,28,1,0,0,1
ATT-2026-00147,47450,7.45,1,0,27,1,0,0,1
ATT-2026-00148,17400,4.12,0,0,35,1,0,0,0
ATT-2026-00149,76850,7.45,0,1,32,1,0,0,1
ATT-2026-00150,74050,7.45,0,1,32,1,0,0,1
ATT-2026-00151,33240,4.12,0,0,34,1,0,0,0
ATT-2026-00152,34440,4.12,0,0,35,1,0,0,0
ATT-2026-00153,76150,7.45,1,0,28,1,0,0,1
ATT-2026-00154,47800,7.45,0,1,31,1,0,0,1
ATT-2026-00155,49550,7.45,0,1,32,1,0,0,1
ATT-2026-00156,65650,7.45,1,0,28,1,0,0,1
ATT-2026-00157,32040,4.12,0,0,26,1,0,0,0
ATT-2026-00158,22440,4.12,0,0,26,1,0,0,0
ATT-2026-00159,50950,7.45,1,0,28,1,0,0,1
ATT-2026-00160,70200,7.45,1,0,28,1,0,0,1
ATT-2026-00161,33000,4.12,0,0,28,1,0,0,0
ATT-2026-00162,23160,4.12,0,0,35,1,0,0,0
ATT-2026-00163,31080,4.12,0,0,28,1,0,0,0
ATT-2026-00164,34920,4.12,0,0,28,1,0,0,0
ATT-2026-00165,67050,7.45,0,1,32,1,0,0,1
ATT-2026-00166,63900,7.45,1,0,28,1,0,0,1
ATT-2026-00167,16680,4.12,0,0,25,1,0,0,0
ATT-2026-00168,62500,7.45,1,0,29,1,0,0,1
ATT-2026-00169,38040,4.12,0,0,32,1,0,0,0
ATT-2026-00170,65300,7.45,0,1,32,1,0,0,1
ATT-2026-00171,61800,7.45,0,1,32,1,0,0,1
ATT-2026-00172,75800,7.45,0,1,32,1,0,0,1
ATT-2026-00173,52350,7.45,0,1,32,1,0,0,1
ATT-2026-00174,64950,7.45,1,0,28,1,0,0,1
ATT-2026-00175,29400,4.12,0,0,34,1,0,0,0
ATT-2026-00176,37080,4.12,0,0,34,1,0,0,0
ATT-2026-00177,21960,4.12,0,0,35,1,0,0,0
ATT-2026-00178,57950,7.45,1,0,28,1,0,0,1
ATT-2026-00179,28680,4.12,0,0,35,1,0,0,0
ATT-2026-00180,37320,4.12,0,0,35,1,0,0,0
ATT-2026-00181,45350,7.45,0,1,31,1,0,0,1
ATT-2026-00182,63200,7.45,1,0,28,1,0,0,1
ATT-2026-00183,26760,4.12,0,0,35,1,0,0,0
ATT-2026-00184,22200,4.12,0,0,29,1,0,0,0
ATT-2026-00185,27240,4.12,0,0,28,1,0,0,0
ATT-2026-00186,15720,4.12,0,0,27,1,0,0,0
ATT-2026-00187,79650,7.45,1,0,28,1,0,0,1
ATT-2026-00188,18840,4.12,0,0,32,1,0,0,0
ATT-2026-00189,75450,7.45,1,0,28,1,0,0,1
ATT-2026-00190,70900,7.45,1,0,28,1,0,0,1
ATT-2026-00191,20040,4.12,0,0,35,1,0,0,0
ATT-2026-00192,38760,4.12,0,0,28,1,0,0,0
ATT-2026-00193,52000,7.45,1,0,29,1,0,0,1
ATT-2026-00194,36120,4.12,0,0,32,1,0,0,0
ATT-2026-00195,69850,7.45,0,1,32,1,0,0,1
ATT-2026-00196,16440,4.12,0,0,28,1,0,0,0
ATT-2026-00197,49900,7.45,1,0,28,1,0,0,1
ATT-2026-00198,77200,7.45,1,0,28,1,0,0,1
ATT-2026-00199,33960,4.12,0,0,26,1,0,0,0
ATT-2026-00200,15480,4.12,0,0,34,1,0,0,0
