record_id,domain,tld,domain_length,sld_length,num_labels,subdomain_count,digit_count,hyphen_count,entropy,suspicious_keyword_count,brand_token_count,digit_ratio,hyphen_ratio,domain_age_days,rdap_status,dnssec,dns_status,a_count,aaaa_count,mx_count,ns_count,txt_count,cname_count,min_ttl,max_ttl,has_spf,has_dmarc,label,source,source_type,data_quality_status,subdomain_length,max_subdomain_length,special_character_count,special_character_ratio,has_ip_address,has_punycode,has_numeric_subdomain,registrar,registration_country,domain_status,nameserver_count
D000012,microsoft-login-5204.icu,icu,24,20,2,0,4,2,4.0221,1,1,0.1667,0.0833,106,active,0,NOERROR,1,0,0,2,1,0,120,240,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000013,netflix-password.vip,vip,20,16,2,0,0,1,4.0219,0,1,0.0,0.05,133,active,1,NOERROR,2,1,0,2,1,1,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000014,support-amazon.site,site,19,14,2,0,0,1,3.7216,1,1,0.0,0.0526,148,active,0,NOERROR,2,0,1,3,0,0,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000015,paypal-secure-account.icu,icu,25,21,2,0,0,2,3.7035,2,1,0.0,0.08,94,active,1,NOERROR,2,0,1,2,0,1,300,300,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000016,microsoft-login-account.top,top,27,23,2,0,0,2,3.7505,2,1,0.0,0.0741,175,active,0,NOERROR,2,0,0,3,1,1,600,2400,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000017,linkedin-login.buzz,buzz,19,14,2,0,0,1,3.5369,1,0,0.0,0.0526,159,active,1,NOERROR,2,1,0,2,1,0,300,600,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000018,linkedin-billing.online,online,23,16,2,0,0,1,3.0792,0,0,0.0,0.0435,173,active,0,NOERROR,2,0,0,3,1,1,600,2400,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000019,docusign-confirm-6434.info,info,26,21,2,0,4,2,3.8441,1,0,0.1538,0.0769,107,active,1,NOERROR,1,1,1,3,0,1,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000020,linkedin-account.online,online,23,16,2,0,0,1,3.4642,1,0,0.0,0.0435,13,active,0,NOERROR,1,1,0,2,1,1,60,60,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000021,docs-mozilla.gov,gov,16,12,2,0,0,1,3.5778,0,0,0.0,0.0625,3040,active,0,NOERROR,4,1,2,3,2,1,900,1800,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000022,password-account-icloud.top,top,27,23,2,0,0,2,3.764,1,0,0.0,0.0741,118,active,1,NOERROR,2,0,0,2,0,0,600,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000023,paypal-verification-232.work,work,28,23,2,0,3,2,4.1106,0,1,0.1071,0.0714,65,active,1,NOERROR,1,0,0,3,2,0,120,240,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000024,mozilla-3528.io,io,15,12,2,0,4,1,3.5069,0,0,0.2667,0.0667,2674,active,1,NOERROR,4,2,2,3,4,2,300,1200,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000025,microsoft-verification-239.top,top,30,26,2,0,3,2,3.9484,0,1,0.1,0.0667,74,active,1,NOERROR,1,0,1,2,2,1,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000026,netflix-secure.info,info,19,14,2,0,0,1,3.6819,1,1,0.0,0.0526,40,active,0,NOERROR,2,0,0,3,0,0,60,60,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000027,docs-cisco.de,de,13,10,2,0,0,1,2.8731,0,0,0.0,0.0769,7695,active,1,NOERROR,4,2,0,3,2,1,1800,1800,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000028,apple-1658.de,de,13,10,2,0,4,1,3.3927,0,1,0.3077,0.0769,5581,active,1,NOERROR,2,2,1,5,8,0,3600,7200,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000029,docusign-secure-2489.site,site,25,20,2,0,4,2,3.9435,1,0,0.16,0.08,28,active,0,NOERROR,2,0,1,3,1,0,120,480,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000030,wikipedia-2071.io,io,17,14,2,0,4,1,3.6169,0,0,0.2353,0.0588,3609,active,1,NOERROR,2,2,2,5,2,0,300,300,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000031,dropbox-secure-account.info,info,27,22,2,0,0,2,3.9121,2,0,0.0,0.0741,163,active,0,NOERROR,1,0,0,3,2,1,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000032,icloud-verification-584.work,work,28,23,2,0,3,2,4.1375,0,0,0.1071,0.0714,124,active,0,NOERROR,1,1,0,2,1,1,600,1200,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000033,login-docusign-secure.info,info,26,21,2,0,0,2,3.6903,2,0,0.0,0.0769,14,active,0,NOERROR,1,0,0,2,1,0,120,120,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000034,oracle-2189.gov,gov,15,11,2,0,4,1,3.7736,0,0,0.2667,0.0667,4662,active,1,NOERROR,1,2,1,5,4,1,3600,3600,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000035,linkedin-2400.jp,jp,16,13,2,0,4,1,3.625,0,0,0.25,0.0625,5930,active,1,NOERROR,4,0,3,2,4,2,600,600,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000036,apple-4231.edu,edu,14,10,2,0,4,1,3.5216,0,1,0.2857,0.0714,1735,active,0,NOERROR,1,2,0,3,4,1,1800,7200,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000037,account-netflix.online,online,22,15,2,0,0,1,3.5503,1,1,0.0,0.0455,57,active,0,NOERROR,1,0,0,3,2,1,120,240,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000038,linkedin-secure-verify.icu,icu,26,22,2,0,0,2,3.7004,2,0,0.0,0.0769,144,active,0,NOERROR,2,1,0,3,1,1,60,120,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000039,linkedin-verify.click,click,21,15,2,0,0,1,3.5352,1,0,0.0,0.0476,44,active,0,NOERROR,1,0,0,2,2,1,600,600,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000040,apple-confirm-account.top,top,25,21,2,0,0,2,3.7533,2,1,0.0,0.08,47,active,0,NOERROR,2,0,0,2,1,1,60,240,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000041,adobe-verification-991.info,info,27,22,2,0,3,2,3.838,0,0,0.1111,0.0741,63,active,0,NOERROR,2,1,0,3,0,0,120,240,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000042,unlock-apple-secure.top,top,23,19,2,0,0,2,3.6753,1,1,0.0,0.087,23,active,1,NOERROR,2,1,0,3,2,1,300,300,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000043,secure-account-outlook.online,online,29,22,2,0,0,2,3.5949,2,0,0.0,0.069,114,active,0,NOERROR,1,0,0,3,2,1,600,2400,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000044,adobe-verification-242.vip,vip,26,22,2,0,3,2,3.9312,0,0,0.1154,0.0769,2,active,0,NOERROR,2,1,0,3,1,1,60,240,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000045,google-recovery-519.live,live,24,19,2,0,3,2,3.6368,0,1,0.125,0.0833,21,active,1,NOERROR,1,0,0,2,0,0,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000046,amazon-unlock-account.xyz,xyz,25,21,2,0,0,2,3.6431,1,1,0.0,0.08,168,active,0,NOERROR,1,0,1,3,2,0,60,60,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000047,support-adobe.site,site,18,13,2,0,0,1,3.6144,1,0,0.0,0.0556,164,active,1,NOERROR,1,1,0,2,0,0,300,300,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000048,python-2516.io,io,14,11,2,0,4,1,3.6645,0,0,0.2857,0.0714,1806,active,1,NOERROR,1,0,1,2,5,2,1800,1800,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000049,paypal-update.live,live,18,13,2,0,0,1,3.4194,1,1,0.0,0.0556,90,active,0,NOERROR,2,0,0,2,0,0,120,240,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000050,microsoft-unlock-8555.online,online,28,21,2,0,4,2,3.8963,0,1,0.1429,0.0714,86,active,0,NOERROR,1,1,1,3,1,0,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000051,support-cisco.net,net,17,13,2,0,0,1,3.4992,1,0,0.0,0.0588,5520,active,1,NOERROR,1,1,1,3,6,1,300,300,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000052,apple-1836.in,in,13,10,2,0,4,1,3.5466,0,1,0.3077,0.0769,4018,active,1,NOERROR,2,2,3,5,5,1,3600,3600,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000053,ubuntu-4018.edu,edu,15,11,2,0,4,1,3.3736,0,0,0.2667,0.0667,2844,active,0,NOERROR,4,1,2,5,5,0,600,1200,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000054,secure-microsoft.online,online,23,16,2,0,0,1,3.6753,1,1,0.0,0.0435,58,active,0,NOERROR,2,0,0,2,0,1,600,2400,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000055,support-github.gov,gov,18,14,2,0,0,1,3.6144,1,0,0.0,0.0556,5834,active,1,NOERROR,3,1,0,5,8,0,1800,1800,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000056,microsoft-password-account.buzz,buzz,31,26,2,0,0,2,4.0023,1,1,0.0,0.0645,64,active,0,NOERROR,1,0,0,3,0,0,600,1200,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000057,paypal-account.online,online,21,14,2,0,0,1,3.5585,1,1,0.0,0.0476,138,active,0,NOERROR,1,0,0,2,0,1,600,600,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000058,oracle-2018.in,in,14,11,2,0,4,1,3.8074,0,0,0.2857,0.0714,6808,active,0,NOERROR,2,1,1,3,2,2,900,900,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000059,stackoverflow-4224.co,co,21,18,2,0,4,1,3.8802,0,0,0.1905,0.0476,7955,active,0,NOERROR,4,0,2,4,3,0,900,1800,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000060,netflix-verify.click,click,20,14,2,0,0,1,3.6842,1,1,0.0,0.05,109,active,1,NOERROR,2,1,1,2,1,0,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000061,signin-account-docusign.vip,vip,27,23,2,0,0,2,3.6158,2,0,0.0,0.0741,136,active,0,NOERROR,1,1,0,2,2,0,120,240,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000062,linkedin-4491.io,io,16,13,2,0,4,1,3.4528,0,0,0.25,0.0625,7550,active,0,NOERROR,1,2,0,5,8,2,900,1800,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000063,cloudflare-1130.com,com,19,15,2,0,4,1,3.8269,0,0,0.2105,0.0526,7133,active,1,NOERROR,1,0,0,5,8,2,1800,1800,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000064,stackoverflow-3291.org,org,22,18,2,0,4,1,4.1524,0,0,0.1818,0.0455,3843,active,1,NOERROR,2,2,0,3,8,0,600,600,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000065,ubuntu-3810.jp,jp,14,11,2,0,4,1,3.4677,0,0,0.2857,0.0714,4975,active,0,NOERROR,3,0,0,3,4,2,600,1200,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000066,apple-secure-billing.site,site,25,20,2,0,0,2,3.7035,1,1,0.0,0.08,83,active,0,NOERROR,1,1,0,2,1,1,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000067,docusign-secure.xyz,xyz,19,15,2,0,0,1,3.8269,1,0,0.0,0.0526,170,active,0,NOERROR,1,0,0,3,0,0,300,300,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000068,cloudflare-4070.org,org,19,15,2,0,4,1,3.8269,0,0,0.2105,0.0526,818,active,0,NOERROR,1,0,1,5,6,0,3600,7200,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000069,microsoft-verification-910.online,online,33,26,2,0,3,2,3.9424,0,1,0.0909,0.0606,7,active,0,NOERROR,1,0,0,3,2,0,120,120,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000070,netflix-verification-455.online,online,31,24,2,0,3,2,3.7811,0,1,0.0968,0.0645,53,active,0,NOERROR,1,0,0,2,0,0,300,300,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000071,microsoft-secure-billing.click,click,30,24,2,0,0,2,3.8817,1,1,0.0,0.0667,29,active,0,NOERROR,2,1,0,2,0,1,60,60,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000072,microsoft-password.vip,vip,22,18,2,0,0,1,3.7544,0,1,0.0,0.0455,153,active,0,NOERROR,1,0,1,3,0,0,60,60,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000073,mozilla-4053.de,de,15,12,2,0,4,1,3.7736,0,0,0.2667,0.0667,2803,active,0,NOERROR,2,1,2,3,2,0,300,300,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000074,microsoft-signin-5609.online,online,28,21,2,0,4,2,3.9233,1,1,0.1429,0.0714,125,active,0,NOERROR,1,0,1,2,1,1,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000075,wikipedia-4675.in,in,17,14,2,0,4,1,3.6169,0,0,0.2353,0.0588,787,active,1,NOERROR,2,1,3,2,7,0,1800,7200,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000076,icloud-account-241.icu,icu,22,18,2,0,3,2,3.6069,1,0,0.1364,0.0909,41,active,0,NOERROR,2,0,1,3,1,1,60,240,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000077,dropbox-secure-verify.work,work,26,21,2,0,0,2,3.9501,2,0,0.0,0.0769,6,active,0,NOERROR,2,1,0,3,1,1,600,600,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000078,stackoverflow-2650.net,net,22,18,2,0,4,1,4.1867,0,0,0.1818,0.0455,6824,active,0,NOERROR,3,2,1,2,3,2,3600,7200,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000079,linkedin-verify.site,site,20,15,2,0,0,1,3.5842,1,0,0.0,0.05,149,active,1,NOERROR,2,1,0,2,1,1,120,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000080,paypal-verification-180.live,live,28,23,2,0,3,2,3.9947,0,1,0.1071,0.0714,15,active,0,NOERROR,2,0,1,2,2,1,60,240,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000081,apple-secure.top,top,16,12,2,0,0,1,3.4056,1,1,0.0,0.0625,87,active,0,NOERROR,1,0,0,2,2,0,600,2400,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000082,ubuntu-2808.jp,jp,14,11,2,0,4,1,3.3249,0,0,0.2857,0.0714,2513,active,1,NOERROR,3,0,1,2,5,0,900,1800,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000083,github-3257.io,io,14,11,2,0,4,1,3.6645,0,0,0.2857,0.0714,7889,active,0,NOERROR,1,0,3,3,6,0,900,3600,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000084,account-paypal.top,top,18,14,2,0,0,1,3.3083,1,1,0.0,0.0556,107,active,1,NOERROR,1,1,0,3,1,0,600,1200,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000085,wikipedia-1528.gov,gov,18,14,2,0,4,1,3.9058,0,0,0.2222,0.0556,1723,active,1,NOERROR,4,1,2,5,2,0,300,600,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000086,netflix-secure-confirm.info,info,27,22,2,0,0,2,3.7542,2,1,0.0,0.0741,81,active,0,NOERROR,2,0,0,2,1,1,600,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000087,google-account-account.site,site,27,22,2,0,0,2,3.5417,1,1,0.0,0.0741,91,active,0,NOERROR,1,0,0,2,0,0,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000088,google-2621.jp,jp,14,11,2,0,4,1,3.3788,0,1,0.2857,0.0714,2503,active,0,NOERROR,3,2,1,3,2,0,600,1200,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000089,mail-cloudflare.edu,edu,19,15,2,0,0,1,3.5766,0,0,0.0,0.0526,4134,active,0,NOERROR,4,1,0,5,8,1,3600,7200,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000090,apple-verification-10.xyz,xyz,25,21,2,0,2,2,4.1337,0,1,0.08,0.08,68,active,1,NOERROR,2,1,0,2,0,1,120,120,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000091,support-account-microsoft.top,top,29,25,2,0,0,2,3.578,2,1,0.0,0.069,42,active,0,NOERROR,2,0,0,3,0,0,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000092,apple-verification-460.online,online,29,22,2,0,3,2,3.9094,0,1,0.1034,0.069,2,active,1,NOERROR,1,1,1,2,0,1,60,240,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000093,adobe-account-568.click,click,23,17,2,0,3,2,3.9149,1,0,0.1304,0.087,1,active,0,NOERROR,1,0,0,2,1,0,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000094,linkedin-password-541.icu,icu,25,21,2,0,3,2,4.1337,0,0,0.12,0.08,31,active,0,NOERROR,1,0,0,2,1,0,120,240,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000095,microsoft-secure-confirm.icu,icu,28,24,2,0,0,2,3.5836,2,1,0.0,0.0714,156,active,0,NOERROR,1,0,0,3,1,1,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000096,docs-cloudflare.org,org,19,15,2,0,0,1,3.5766,0,0,0.0,0.0526,1627,active,1,NOERROR,3,0,0,3,5,2,3600,7200,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000097,account-linkedin.top,top,20,16,2,0,0,1,3.6842,1,0,0.0,0.05,36,active,0,NOERROR,1,0,0,2,1,1,300,1200,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000098,billing-account-amazon.site,site,27,22,2,0,0,2,3.8562,1,1,0.0,0.0741,162,active,1,NOERROR,2,0,0,2,0,0,60,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
D000099,apple-secure.vip,vip,16,12,2,0,0,1,3.4056,1,1,0.0,0.0625,10,active,0,NOERROR,2,0,0,3,0,0,120,120,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000100,apple-1141.org,org,14,10,2,0,4,1,3.3249,0,1,0.2857,0.0714,5859,active,0,NOERROR,1,1,3,4,3,2,300,1200,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000101,ubuntu-2593.co,co,14,11,2,0,4,1,3.4677,0,0,0.2857,0.0714,5764,active,1,NOERROR,2,0,2,4,8,1,1800,1800,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000102,wikipedia-2987.gov,gov,18,14,2,0,4,1,3.9058,0,0,0.2222,0.0556,1919,active,1,NOERROR,4,2,3,4,6,2,300,1200,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000103,amazon-confirm-account.icu,icu,26,22,2,0,0,2,3.5364,2,1,0.0,0.0769,75,active,1,NOERROR,1,0,1,3,2,1,60,120,1,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000104,iana-4785.com,com,13,9,2,0,4,1,3.5466,0,0,0.3077,0.0769,2591,active,0,NOERROR,4,2,1,4,3,0,900,1800,1,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000105,google-3518.org,org,15,11,2,0,4,1,3.2729,0,1,0.2667,0.0667,7349,active,1,NOERROR,1,1,2,4,3,0,900,3600,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000106,ibm-3554.org,org,12,8,2,0,4,1,3.4183,0,0,0.3333,0.0833,6267,active,1,NOERROR,2,1,1,5,3,0,1800,3600,0,1,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,5
D000107,update-icloud-secure.vip,vip,24,20,2,0,0,2,3.7721,2,0,0.0,0.0833,12,active,0,NOERROR,1,0,1,3,2,1,600,600,1,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000108,adobe-account.xyz,xyz,17,13,2,0,0,1,3.7345,1,0,0.0,0.0588,57,active,0,NOERROR,1,0,0,3,1,1,300,600,0,1,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000109,mail-ibm.io,io,11,8,2,0,0,1,2.8454,0,0,0.0,0.0909,2158,active,0,NOERROR,3,2,1,4,2,0,1800,1800,0,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,4
D000110,mail-wikipedia.net,net,18,14,2,0,0,1,3.5033,0,0,0.0,0.0556,2455,active,0,NOERROR,1,2,1,3,7,0,3600,3600,1,0,0,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,3
D000111,login-linkedin-secure.work,work,26,21,2,0,0,2,3.7672,2,0,0.0,0.0769,118,active,0,NOERROR,1,1,1,2,2,0,300,600,0,0,1,unknown,unknown,cleaned_and_verified,0,0,0,0.0,0,0,0,,,,2
